TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
20190203,2.4,6.0,11.0,2.8,94.8,0.0,20.5,8.2
20190203,1.0,2.5,6.9,-0.5,88.9,0.0,15.5,7.4
20190203,2.0,5.0,12.1,1.7,89.9,0.4,11.0,10.4
20190204,3.0,4.3,8.5,1.0,24.1,9.3,-9.0,7.5
20190204,1.4,1.3,6.5,-2.2,51.5,9.1,-9.0,8.7
20190204,2.8,5.8,10.4,2.2,38.4,8.4,-9.0,8.2
20190204,1.8,9.0,12.7,6.5,52.1,9.5,-9.0,6.199999999999999
20190204,0.8,0.8,5.4,-3.5,55.0,8.5,-9.0,8.9
20190204,2.9,5.1,9.4,1.3,30.6,8.6,-9.0,8.1
20190204,5.5,1.1,4.4,-2.9,37.3,9.2,-9.0,7.300000000000001
20190204,2.1,5.7,10.2,1.5,37.4,8.5,-9.0,8.7
20190205,1.5,6.1,9.9,-0.4,24.4,8.2,-9.0,10.3
20190205,1.0,1.4,10.5,-7.2,46.1,8.8,-9.0,17.7
20190205,1.9,5.6,12.6,-1.6,49.0,7.9,-9.0,14.2
20190205,0.6,2.4,12.9,-5.8,49.1,9.0,-9.0,18.7
20190205,0.5,1.4,11.6,-6.1,61.5,7.9,-9.0,17.7
20190205,1.1,5.1,13.6,-2.2,51.4,9.0,-9.0,15.8
20190205,1.3,0.8,8.5,-6.5,41.3,8.4,-9.0,15.0
20190205,0.9,4.6,11.5,-0.7,38.6,9.0,-9.0,12.2
20190206,1.3,5.1,9.3,0.1,54.9,3.3,-9.0,9.200000000000001
20190206,0.9,4.5,13.2,-3.8,57.5,7.0,-9.0,17.0
20190206,2.1,8.2,13.9,4.2,52.1,7.6,-9.0,9.7
20190206,1.6,3.9,8.6,-2.5,67.4,4.0,-9.0,11.1
20190206,1.0,4.7,13.4,-3.9,66.8,5.8,-9.0,17.3
20190206,2.0,5.6,14.5,-1.9,67.3,6.6,-9.0,16.4
20190206,0.9,2.8,12.6,-5.6,59.3,7.3,-9.0,18.2
20190207,2.1,0.3,4.7,-3.6,62.0,6.2,9.3,8.3
20190207,6.0,-2.9,5.0,-8.3,49.3,9.2,0.0,13.3
20190207,3.6,2.9,8.5,-4.7,45.3,6.4,-9.0,13.2
20190207,12.2,2.3,9.8,-1.0,72.0,3.4,0.0,10.8
20190207,3.3,0.0,4.5,-6.4,44.5,8.4,0.4,10.9
20190207,2.9,1.4,6.5,-4.4,60.0,6.1,-9.0,10.9
20190207,2.9,2.4,6.8,-2.5,63.5,2.0,0.2,9.3
20190207,2.7,5.8,9.5,-0.8,43.6,4.5,-9.0,10.3
20190208,1.0,-4.9,0.3,-9.2,39.9,8.5,-9.0,9.5
20190208,1.0,-3.6,1.0,-7.7,31.0,7.9,-9.0,8.7
20190208,2.5,1.5,6.0,-2.4,47.8,7.8,-9.0,8.4
20190208,1.8,0.3,5.1,-2.6,45.0,6.2,-9.0,7.699999999999999
20190208,1.4,-4.7,1.5,-10.0,33.4,8.1,-9.0,11.5
20190208,1.8,-3.0,2.8,-7.1,43.4,7.2,-9.0,9.899999999999999
20190208,2.7,0.4,5.5,-3.1,37.6,7.3,-9.0,8.6
20190208,0.9,-1.8,5.3,-7.9,39.3,7.7,-9.0,13.2
20190209,0.8,-7.4,-1.7,-12.7,44.9,8.0,-9.0,11.0
20190209,5.9,-0.7,2.0,-2.8,84.1,2.6,12.7,4.8
20190209,3.6,-1.9,0.9,-4.2,50.6,9.5,-9.0,5.1000000000000005
20190209,4.6,-2.0,0.2,-3.9,59.8,6.4,0.0,4.1
20190209,1.4,-4.9,-0.1,-8.8,41.6,7.4,-9.0,8.700000000000001
20190209,3.2,-2.6,-0.3,-4.3,55.9,8.4,-9.0,4.0
20190209,2.9,-1.6,1.3,-4.0,57.8,6.1,0.0,5.3
20190209,2.3,-0.2,3.0,-2.3,27.6,8.3,-9.0,5.3
20190210,1.2,-5.6,-0.6,-10.9,32.6,3.4,-9.0,10.3
20190210,1.5,-4.3,-0.4,-8.8,41.1,0.7,-9.0,8.4
20190210,1.6,1.0,4.5,-4.5,29.3,2.6,-9.0,9.0
20190210,3.1,-0.5,6.0,-5.4,43.6,3.0,-9.0,11.4
20190210,0.9,-5.1,0.9,-12.0,48.1,4.6,-9.0,12.9
20190210,1.1,-1.7,4.0,-6.8,39.3,2.1,-9.0,10.8
20190210,1.6,0.2,6.0,-6.6,40.3,4.2,-9.0,12.6
20190210,1.4,0.9,5.8,-4.7,34.1,2.8,-9.0,10.5
20190211,1.4,-4.4,2.3,-11.7,45.6,9.5,-9.0,14.0
20190211,1.5,-1.7,2.7,-6.0,32.5,9.5,-9.0,8.7
20190211,1.8,-1.0,4.0,-4.9,54.0,9.7,-9.0,8.9
20190211,4.8,-3.0,1.0,-5.3,73.9,4.0,-9.0,6.3
20190211,1.7,-4.8,-0.5,-7.9,33.3,7.4,0.0,7.4
20190211,2.7,-3.4,1.3,-7.3,53.4,9.3,-9.0,8.6
20190211,1.5,0.7,7.6,-4.3,46.1,9.6,-9.0,11.899999999999999
20190211,3.7,0.9,6.8,-2.1,32.5,9.1,-9.0,8.9
20190212,3.3,-5.6,-0.7,-11.5,44.9,9.4,-9.0,10.8
20190212,1.0,-1.6,4.5,-8.2,50.4,7.9,-9.0,12.7
20190212,2.4,2.4,7.0,-2.0,35.0,8.8,-9.0,9.0
20190212,0.9,-1.2,4.8,-6.6,65.5,4.1,0.0,11.399999999999999
20190212,1.8,-3.1,4.0,-9.6,49.1,6.6,-9.0,13.6
20190212,1.6,-0.4,5.7,-7.5,64.9,7.3,-9.0,13.2
20190212,0.6,-0.2,8.2,-8.4,68.4,7.8,-9.0,16.6
20190212,0.7,-0.6,7.0,-8.8,58.0,7.6,-9.0,15.8
20190213,1.3,-3.4,3.4,-8.9,47.5,9.3,-9.0,12.3
20190213,1.9,-1.7,2.8,-6.0,50.1,9.4,-9.0,8.8
20190213,1.8,3.2,7.4,0.2,31.0,8.9,-9.0,7.2
20190213,3.3,6.8,8.7,5.2,51.3,9.5,-9.0,3.499999999999999
20190213,2.1,-3.4,3.0,-9.8,44.5,8.9,-9.0,12.8
20190213,3.1,-0.2,4.3,-4.6,52.1,9.4,-9.0,8.899999999999999
20190213,1.7,4.1,9.7,0.1,35.8,9.3,-9.0,9.6
20190213,1.1,1.4,8.2,-4.4,43.8,9.2,-9.0,12.6
20190214,3.8,-2.4,-0.4,-4.9,45.9,8.4,-9.0,4.5
20190214,2.7,1.3,4.1,-1.4,70.5,2.3,0.7,5.5
20190214,1.6,2.3,9.2,-1.5,36.1,7.4,-9.0,10.7
20190214,5.5,5.2,7.0,3.5,61.9,4.3,-9.0,3.5
20190214,0.9,-0.2,7.2,-6.1,56.4,8.6,-9.0,13.3
20190214,2.3,4.2,10.2,0.1,53.0,4.8,-9.0,10.1
