,TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
282,20140206,0.7,-2.4,4.2,-7.0,57.3,6.5,0.0,11.2
283,20140206,1.5,0.0,6.0,-3.5,41.5,5.2,0.0,9.5
284,20140206,2.0,1.3,5.9,-2.2,69.5,3.0,1.0,8.100000000000001
285,20140206,0.5,-2.6,3.9,-9.1,47.5,0.2,0.0,13.0
286,20140207,2.0,1.2,7.4,-3.7,54.8,5.5,0.3,11.1
287,20140207,3.2,3.3,8.3,-3.5,50.5,4.7,0.0,11.8
288,20140207,1.8,2.8,6.0,-0.8,70.9,0.0,0.1,6.8
289,20140207,1.8,3.2,8.0,-2.0,67.8,0.0,0.0,10.0
290,20140207,1.5,0.0,7.0,-6.6,60.8,4.2,0.0,13.6
291,20140207,4.3,4.4,8.1,1.5,58.1,1.7,0.0,6.6
292,20140207,2.1,5.3,8.0,3.2,68.4,0.0,0.5,4.8
293,20140207,1.1,1.2,4.3,-2.1,92.6,0.1,7.0,6.4
294,20140208,2.3,0.3,3.0,-1.2,79.6,0.9,3.5,4.2
295,20140208,1.9,1.1,2.9,-0.1,95.6,0.0,3.1,3.0
296,20140208,1.9,5.3,7.7,3.6,60.8,2.1,0.0,4.1
297,20140208,4.8,6.3,8.8,5.1,84.4,0.0,15.6,3.700000000000001
298,20140208,2.7,0.2,3.2,-1.8,74.6,0.8,2.0,5.0
299,20140208,1.9,2.1,3.6,1.0,89.3,0.0,4.0,2.6
300,20140208,4.2,4.4,6.9,2.1,76.8,0.0,0.5,4.800000000000001
301,20140208,2.0,4.9,8.8,1.9,62.3,1.3,0.0,6.9
302,20140209,1.6,-0.7,1.7,-1.8,93.3,0.4,32.0,3.5
303,20140209,1.3,-0.2,1.7,-1.4,79.5,0.3,0.1,3.1
304,20140209,3.1,4.6,7.9,3.2,61.4,8.1,0.0,4.7
305,20140209,1.3,6.4,8.7,4.2,67.6,0.3,0.0,4.499999999999999
306,20140209,2.4,-0.9,0.8,-2.7,73.8,0.5,0.0,3.5
307,20140209,2.3,3.5,7.1,1.8,69.0,2.9,0.0,5.3
